Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
RPG LifeScience.,532983,RPGLIFE,INE105J01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,2592.70,4288.07,170.09,3082.00,2357.69,15.88,20.00,72.95,30.57,16.28,26.29,29.08,2.24,37.78,22.13,36.85,0.00,36.75,208.58,14.80,734.29,11.78,15.85,30.57,116.67,25.71,19.31,12.64,15.62,4.46,56.50,77.86,2355.33,44.82,22.84,41.42,139.61,9.67,156.78,592.14,119.69,440.79,23.10,7.08,195.69,23886.00,25282.00,25832.00,0.95,8.68,17.42,156.78
RPSG Ventures,542333,RPSGVENT,INE425Y01011,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),868.50,2873.55,1726.05,1360.00,859.44,26.34,8243.07,63.51,112.13,34.95,83.09,-56.09,451.51,96.00,-136.30,-41.13,0.00,,3156.67,18.30,11928.13,18.53,20.36,253.09,-46.84,10.61,-5.35,-72.76,8.71,0.24,1233.40,1097.50,859.35,475.46,10.44,40.85,950.77,1.82,916.69,2472.67,752.79,4214.03,5.45,1.15,3576.44,39049.00,40488.00,41261.00,4.01,1.98,30.49,916.69
RRP Defense,530929,,INE535P01015,Commercial Services & Supplies,Trading & Distributors,646.30,886.65,-1.02,984.40,489.66,34.35,2.27,74.65,-1.60,-700.00,-0.20,-2.29,30.13,,-0.13,1.59,0.00,,,,12.39,39.37,,-1.60,-2.43,-11.12,-13.71,-364.13,,-26.12,-13.71,-0.39,488.08,,,8.92,1.52,-50.17,0.02,-0.97,0.50,23.28,-365.80,69.54,0.00,2753.00,2715.00,774.00,0.00,0.00,25.35,0.02
RRPSemiconductor,504346,,INE713N01013,Finance,Other Financial Services,8458.80,11524.27,-7.16,11902.00,5651.12,28.93,5.87,1.28,-0.33,-13.79,-0.29,-0.18,-83.33,,-0.14,-7.15,0.00,,,,-6.82,-125.76,,-0.33,-7.80,-32.66,-61.01,-220.00,,-330.21,4.94,-18.78,5622.90,,,15.58,1.51,-21.38,0.03,-4.98,0.00,16.25,-1630.85,1274.81,0.00,1509.00,1497.00,116.00,0.00,0.00,98.72,0.03
RSWM Ltd,500350,RSWM,INE611A01016,Textiles & Apparels,Other Textile Products,197.96,932.42,323.83,367.70,176.97,17.52,1687.64,55.69,19.65,134.77,8.37,34.13,-41.93,4.94,2.38,7.43,0.00,12.98,1095.16,-4.86,4545.06,-5.08,-0.78,19.65,71.81,5.62,3.83,524.41,1.69,0.34,434.58,426.39,176.75,74.64,1.05,44.63,10.92,3.26,10.74,1313.95,350.67,1580.58,7.46,0.69,1161.24,26513.00,27225.00,29275.00,0.97,0.52,42.62,10.74
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1818.80,30106.94,407.93,1829.00,1101.01,0.56,311.01,59.76,84.78,95.80,43.30,76.79,10.41,117.03,72.80,53.85,0.00,104.46,610.32,48.13,1935.81,46.65,51.59,84.78,288.22,28.35,26.96,89.49,15.87,48.59,205.05,159.18,1093.79,142.65,7.07,66.73,116.23,0.85,346.02,1272.31,26.59,1681.81,64.95,23.30,534.34,43254.00,33738.00,,7.52,9.43,23.29,346.02
Ruby Mills,503169,RUBYMILLS,INE301D01026,Textiles & Apparels,Other Textile Products,393.50,1315.86,92.94,424.90,287.76,7.39,375.04,74.91,11.82,-1.99,12.06,11.07,6.78,7.55,9.46,10.99,0.00,30.36,120.44,40.64,380.50,42.22,31.49,11.82,43.34,6.80,6.65,-4.89,12.92,1.77,62.82,-35.48,286.70,27.94,2.26,55.18,9.26,-2.52,13.83,657.65,115.17,213.37,14.96,1.95,91.48,10544.00,12510.00,13633.00,0.02,0.10,24.98,13.83
Rupa & Co,533552,RUPA,INE895B01021,Textiles & Apparels,Garments & Apparels,149.25,1186.90,138.20,590.00,162.40,29.88,258.25,73.28,8.26,23.84,6.67,38.40,-77.19,18.03,16.26,14.50,0.00,15.17,339.24,5.96,1277.63,5.34,10.08,8.26,78.24,9.55,7.36,-1.58,4.08,1.45,45.27,58.62,162.53,27.54,2.27,35.86,196.32,6.05,254.77,1058.15,16.03,1346.04,8.40,1.11,202.43,60378.00,59987.00,61191.00,0.12,3.49,23.10,254.77
S A I L,500113,SAIL,INE114A01011,Ferrous Metals,Iron & Steel,194.90,80503.94,13319.56,293.00,163.32,7.06,31927.71,65.00,1744.55,134.30,744.58,2074.81,-10.43,1417.49,374.03,418.72,0.00,16.67,28108.97,5.26,111134.75,6.45,1.25,1644.05,4830.03,7.79,6.43,58.66,6.65,0.56,19039.30,9914.30,163.00,3463.05,3.43,73.33,966.88,5.03,732.51,56225.35,4339.25,35915.24,7.60,1.33,26245.67,1509426.00,1572361.00,1908384.00,7.09,16.87,11.05,732.51
S C I,523598,SCI,INE109A01011,Transport Services,Shipping,288.50,13438.33,2660.05,384.80,270.74,21.76,2679.25,63.75,619.34,74.87,354.17,404.60,53.07,312.60,404.97,189.16,0.00,8.31,1683.47,25.74,6310.31,16.69,40.31,619.34,1618.07,14.31,15.54,78.54,33.54,0.85,1343.21,849.51,270.57,650.38,6.71,46.80,581.28,2.84,349.03,8630.49,773.60,4810.87,5.32,1.48,1846.56,385658.00,396720.00,463965.00,8.98,2.09,25.20,349.03
S H Kelkar & Co.,539450,SHK,INE500L01026,Chemicals & Petrochemicals,Specialty Chemicals,155.62,2154.10,250.98,362.90,158.17,43.51,1028.92,54.87,25.23,2.66,24.58,2.59,2423.89,20.07,32.63,9.17,8.30,45.62,620.07,11.95,2449.69,9.68,14.11,45.43,47.22,5.85,3.71,-63.89,3.81,1.36,263.13,15.74,158.19,67.43,1.45,48.19,86.78,0.39,64.93,1223.47,11.21,1469.87,11.69,1.58,662.42,55913.00,53911.00,50450.00,5.92,6.01,33.21,64.93
S J Logistics (I,,SJLOGISTIC,INE0F3301020,Transport Services,Logistics Solution Provider,338.05,534.90,120.38,725.00,342.98,26.35,116.62,50.81,43.43,49.50,29.05,32.38,34.13,25.82,14.84,14.21,39.80,7.06,186.17,37.04,653.79,30.11,33.62,43.43,75.81,32.38,29.13,44.43,11.71,,21.20,-51.54,343.03,31.01,16.32,54.11,1.24,-12.09,2.96,287.78,3.86,314.43,5.39,1.71,370.89,4225.00,4293.00,3681.00,0.23,1.06,47.90,2.96
S P Apparels,540048,SPAL,INE212I01016,Textiles & Apparels,Garments & Apparels,949.70,2387.44,229.58,1221.90,860.03,22.28,419.04,61.81,24.91,16.40,21.40,18.48,33.78,32.58,27.01,34.70,0.00,22.72,425.83,-0.35,1576.28,1.48,-0.58,24.87,105.06,14.04,11.19,7.27,6.20,1.66,208.69,44.42,859.13,61.05,12.96,44.64,41.29,2.33,58.90,920.99,57.95,728.40,11.46,2.52,401.08,17353.00,17082.00,16858.00,1.49,16.15,20.55,58.90
